t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0	0	0
1	9.69627e-05	0	0
2	0.000193925	0	0
3	0.000290888	0	0
4	0.000387851	0	0
5	0.000484814	0	0
6	0.000581776	0	0
7	0.000678739	0	0
8	0.000775702	0	0
9	0.000872665	0	0
10	0.000969627	0	0
11	0.00106659	0	0
12	0.00116355	0	0
13	0.00126052	0	0
14	0.00135748	0	0
15	0.00145444	0	0
16	0.0015514	0	0
17	0.00164837	0	0
18	0.00174533	0	0
19	0.00184229	0	0
20	0.00193925	0	0
21	0.00203622	0	0
22	0.00213318	0	0
23	0.00223014	0	0
24	0.00232711	0	0
25	0.00242407	0	0
26	0.00252103	0	0
27	0.00261799	0	0
28	0.00271496	0	0
29	0.00281192	0	0
30	0.00290888	0	0
31	0.00300584	0	0
32	0.00310281	0	0
33	0.00319977	0	0
34	0.00329673	0	0
35	0.0033937	0	0
36	0.00349066	0	0
37	0.00358762	0	0
38	0.00368458	0	0
39	0.00378155	0	0
40	0.00387851	0	0
41	0.00397547	0	0
42	0.00407243	0	0
43	0.0041694	0	0
44	0.00426636	0	0
45	0.00436332	0	0
46	0.00446029	0	0
47	0.00455725	0	0
48	0.00465421	0	0
49	0.00475117	0	0
50	0.00484814	0	0
51	0.0049451	0	0
52	0.00504206	0	0
53	0.00513903	0	0
54	0.00523599	0	0
55	0.00533295	0	0
56	0.00542991	0	0
57	0.00552688	0	0
58	0.00562384	0	0
59	0.0057208	0	0
60	0.00581776	0	0
61	0.00591473	0	0
62	0.00601169	0	0
63	0.00610865	0	0
64	0.00620562	0	0
65	0.00630258	0	0
66	0.00639954	0	0
67	0.0064965	0	0
68	0.00659347	0	0
69	0.00669043	0	0
70	0.00678739	0	0
71	0.00688435	0	0
72	0.00698132	0	0
73	0.00707828	0	0
74	0.00717524	0	0
75	0.00727221	0	0
76	0.00736917	0	0
77	0.00746613	0	0
78	0.00756309	0	0
79	0.00766006	0	0
80	0.00775702	0	0
81	0.00785398	0	0
82	0.00795094	0	0
83	0.00804791	0	0
84	0.00814487	0	0
85	0.00824183	0	0
86	0.0083388	0	0
87	0.00843576	0	0
88	0.00853272	0	0
89	0.00862968	0	0
90	0.00872665	0	0
91	0.00882361	0	0
92	0.00892057	0	0
93	0.00901753	0	0
94	0.0091145	0	0
95	0.00921146	0	0
96	0.00930842	0	0
97	0.00940539	0	0
98	0.00950235	0	0
99	0.00959931	0	0
100	0.00969627	0	0
101	0.00979324	0	0
102	0.0098902	0	0
103	0.00998716	0	0
104	0.0100841	0	0
105	0.0101811	0	0
106	0.0102781	0	0
107	0.010375	0	0
108	0.010472	0	0
109	0.0105689	0	0
110	0.0106659	0	0
111	0.0107629	0	0
112	0.0108598	0	0
113	0.0109568	0	0
114	0.0110538	0	0
115	0.0111507	0	0
116	0.0112477	0	0
117	0.0113446	0	0
118	0.0114416	0	0
119	0.0115386	0	0
120	0.0116355	0	0
121	0.0117325	0	0
122	0.0118295	0	0
123	0.0119264	0	0
124	0.0120234	0	0
125	0.0121203	0	0
126	0.0122173	0	0
127	0.0123143	0	0
128	0.0124112	0	0
129	0.0125082	0	0
130	0.0126052	0	0
131	0.0127021	0	0
132	0.0127991	0	0
133	0.012896	0	0
134	0.012993	0	0
135	0.01309	0	0
136	0.0131869	0	0
137	0.0132839	0	0
138	0.0133809	0	0
139	0.0134778	0	0
140	0.0135748	0	0
141	0.0136717	0	0
142	0.0137687	0	0
143	0.0138657	0	0
144	0.0139626	0	0
145	0.0140596	0	0
