t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0	0	0
1	9.69627e-05	0.00177168	0.020733
2	0.000193925	0.00354334	0.0414612
3	0.000290888	0.00531494	0.06218
4	0.000387851	0.00708646	0.0828846
5	0.000484814	0.00885788	0.10357
6	0.000581776	0.0106292	0.124233
7	0.000678739	0.0124003	0.144867
8	0.000775702	0.0141713	0.165468
9	0.000872665	0.015942	0.186032
10	0.000969627	0.0177125	0.206554
11	0.00106659	0.0194827	0.22703
12	0.00116355	0.0212527	0.247456
13	0.00126052	0.0230223	0.267826
14	0.00135748	0.0247916	0.288137
15	0.00145444	0.0265606	0.308385
16	0.0015514	0.0283291	0.328565
17	0.00164837	0.0300973	0.348674
18	0.00174533	0.031865	0.368707
19	0.00184229	0.0336322	0.388662
20	0.00193925	0.0353989	0.408533
21	0.00203622	0.0371651	0.428317
22	0.00213318	0.0389308	0.448011
23	0.00223014	0.0406958	0.467612
24	0.00232711	0.0424603	0.487115
25	0.00242407	0.0442242	0.506519
26	0.00252103	0.0459874	0.525819
27	0.00261799	0.04775	0.545012
28	0.00271496	0.0495118	0.564097
29	0.00281192	0.0512729	0.58307
30	0.00290888	0.0530333	0.601928
31	0.00300584	0.0547929	0.620669
32	0.00310281	0.0565517	0.639291
33	0.00319977	0.0583096	0.657791
34	0.00329673	0.0600668	0.676166
35	0.0033937	0.061823	0.694416
36	0.00349066	0.0635783	0.712538
37	0.00358762	0.0653327	0.730529
38	0.00368458	0.0670862	0.74839
39	0.00378155	0.0688387	0.766117
40	0.00387851	0.0705902	0.783709
41	0.00397547	0.0723406	0.801165
42	0.00407243	0.07409	0.818484
43	0.0041694	0.0758384	0.835665
44	0.00426636	0.0775856	0.852706
45	0.00436332	0.0793317	0.869606
46	0.00446029	0.0810767	0.886365
47	0.00455725	0.0828205	0.902981
48	0.00465421	0.0845631	0.919455
49	0.00475117	0.0863045	0.935785
50	0.00484814	0.0880446	0.951972
51	0.0049451	0.0897835	0.968014
52	0.00504206	0.0915211	0.983911
53	0.00513903	0.0932574	0.999663
54	0.00523599	0.0949923	1.01527
55	0.00533295	0.0967259	1.03073
56	0.00542991	0.098458	1.04605
57	0.00552688	0.100189	1.06122
58	0.00562384	0.101918	1.07625
59	0.0057208	0.103646	1.09113
60	0.00581776	0.105372	1.10587
61	0.00591473	0.107097	1.12046
62	0.00601169	0.108821	1.13491
63	0.00610865	0.110543	1.14922
64	0.00620562	0.112263	1.16338
65	0.00630258	0.113982	1.1774
66	0.00639954	0.115699	1.19128
67	0.0064965	0.117414	1.20502
68	0.00659347	0.119128	1.21862
69	0.00669043	0.12084	1.23208
70	0.00678739	0.122551	1.2454
71	0.00688435	0.124259	1.25858
72	0.00698132	0.125966	1.27163
73	0.00707828	0.127671	1.28454
74	0.00717524	0.129375	1.29731
75	0.00727221	0.131076	1.30995
76	0.00736917	0.132776	1.32245
77	0.00746613	0.134474	1.33483
78	0.00756309	0.13617	1.34707
79	0.00766006	0.137864	1.35918
80	0.00775702	0.139557	1.37116
81	0.00785398	0.141247	1.38301
82	0.00795094	0.142935	1.39474
83	0.00804791	0.144622	1.40634
84	0.00814487	0.146306	1.41781
85	0.00824183	0.147989	1.42916
86	0.0083388	0.149669	1.44039
87	0.00843576	0.151347	1.4515
88	0.00853272	0.153024	1.46248
89	0.00862968	0.154698	1.47335
90	0.00872665	0.15637	1.4841
91	0.00882361	0.15804	1.49473
92	0.00892057	0.159708	1.50525
93	0.00901753	0.161373	1.51565
94	0.0091145	0.163037	1.52593
95	0.00921146	0.164698	1.53611
96	0.00930842	0.166357	1.54617
97	0.00940539	0.168014	1.55613
98	0.00950235	0.169668	1.56597
99	0.00959931	0.171321	1.57571
100	0.00969627	0.172971	1.58534
101	0.00979324	0.174618	1.59487
102	0.0098902	0.176264	1.60429
103	0.00998716	0.177907	1.61361
104	0.0100841	0.179547	1.62283
105	0.0101811	0.181185	1.63195
106	0.0102781	0.182821	1.64097
107	0.010375	0.184455	1.64989
108	0.010472	0.186086	1.65871
109	0.0105689	0.187715	1.66744
110	0.0106659	0.189341	1.67607
111	0.0107629	0.190964	1.68461
112	0.0108598	0.192586	1.69306
113	0.0109568	0.194204	1.70141
114	0.0110538	0.19582	1.70968
115	0.0111507	0.197434	1.71785
116	0.0112477	0.199045	1.72594
117	0.0113446	0.200654	1.73394
118	0.0114416	0.20226	1.74185
119	0.0115386	0.203863	1.74968
120	0.0116355	0.205464	1.75743
121	0.0117325	0.207062	1.76509
122	0.0118295	0.208657	1.77267
123	0.0119264	0.21025	1.78017
124	0.0120234	0.21184	1.78759
125	0.0121203	0.213428	1.79493
126	0.0122173	0.215012	1.80219
127	0.0123143	0.216594	1.80938
128	0.0124112	0.218174	1.81649
129	0.0125082	0.21975	1.82352
130	0.0126052	0.221324	1.83048
131	0.0127021	0.222895	1.83737
132	0.0127991	0.224464	1.84418
133	0.012896	0.226029	1.85092
134	0.012993	0.227592	1.8576
135	0.01309	0.229152	1.8642
136	0.0131869	0.230709	1.87073
137	0.0132839	0.232263	1.8772
138	0.0133809	0.233815	1.8836
139	0.0134778	0.235363	1.88993
140	0.0135748	0.236909	1.8962
141	0.0136717	0.238452	1.9024
142	0.0137687	0.239992	1.90854
143	0.0138657	0.241529	1.91461
144	0.0139626	0.243063	1.92063
145	0.0140596	0.244595	1.92658
146	0.0141566	0.246123	1.93247
147	0.0142535	0.247648	1.9383
148	0.0143505	0.249171	1.94407
149	0.0144474	0.25069	1.94979
150	0.0145444	0.252207	1.95544
151	0.0146414	0.25372	1.96104
152	0.0147383	0.255231	1.96659
153	0.0148353	0.256738	1.97207
154	0.0149323	0.258243	1.97751
155	0.0150292	0.259744	1.98288
156	0.0151262	0.261243	1.98821
157	0.0152231	0.262738	1.99348
158	0.0153201	0.264231	1.9987
159	0.0154171	0.26572	2.00387
160	0.015514	0.267207	2.00899
161	0.015611	0.26869	2.01405
162	0.015708	0.27017	2.01907
163	0.0158049	0.271647	2.02404
164	0.0159019	0.273121	2.02896
165	0.0159989	0.274592	2.03383
166	0.0160958	0.27606	2.03866
167	0.0161928	0.277525	2.04344
168	0.0162897	0.278986	2.04817
169	0.0163867	0.280445	2.05285
170	0.0164837	0.2819	2.0575
171	0.0165806	0.283353	2.06209
172	0.0166776	0.284802	2.06665
173	0.0167746	0.286248	2.07116
174	0.0168715	0.287691	2.07562
175	0.0169685	0.28913	2.08005
176	0.0170654	0.290567	2.08443
177	0.0171624	0.292	2.08877
178	0.0172594	0.29343	2.09307
179	0.0173563	0.294857	2.09733
180	0.0174533	0.296281	2.10155
181	0.0175503	0.297702	2.10574
182	0.0176472	0.299119	2.10988
183	0.0177442	0.300533	2.11398
184	0.0178411	0.301944	2.11805
185	0.0179381	0.303352	2.12208
186	0.0180351	0.304757	2.12607
187	0.018132	0.306158	2.13002
188	0.018229	0.307557	2.13394
189	0.018326	0.308952	2.13783
190	0.0184229	0.310343	2.14167
191	0.0185199	0.311732	2.14549
192	0.0186168	0.313117	2.14927
193	0.0187138	0.314499	2.15301
194	0.0188108	0.315878	2.15672
195	0.0189077	0.317254	2.1604
196	0.0190047	0.318626	2.16404
197	0.0191017	0.319995	2.16765
198	0.0191986	0.321361	2.17123
199	0.0192956	0.322724	2.17478
200	0.0193925	0.324083	2.1783
201	0.0194895	0.32544	2.18178
202	0.0195865	0.326792	2.18524
203	0.0196834	0.328142	2.18866
204	0.0197804	0.329488	2.19206
205	0.0198774	0.330832	2.19542
206	0.0199743	0.332172	2.19876
207	0.0200713	0.333508	2.20207
208	0.0201682	0.334842	2.20534
209	0.0202652	0.336172	2.20859
210	0.0203622	0.337498	2.21181
211	0.0204591	0.338822	2.21501
212	0.0205561	0.340142	2.21817
213	0.0206531	0.341459	2.22131
214	0.02075	0.342773	2.22443
215	0.020847	0.344084	2.22751
216	0.020944	0.345391	2.23057
217	0.0210409	0.346695	2.23361
218	0.0211379	0.347996	2.23662
219	0.0212348	0.349293	2.2396
220	0.0213318	0.350588	2.24256
221	0.0214288	0.351879	2.24549
222	0.0215257	0.353166	2.2484
