t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0	-5.96046e-07	6.28318
1	9.69627e-05	9.63667e-05	0.00112776
2	0.000193925	0.000193329	0.0022625
3	0.000290888	0.000290292	0.00339724
4	0.000387851	0.000387255	0.00453198
5	0.000484814	0.000484218	0.00566671
6	0.000581776	0.00058118	0.00680144
7	0.000678739	0.000678143	0.00793616
8	0.000775702	0.000775106	0.00907088
9	0.000872665	0.000872069	0.0102056
10	0.000969627	0.000969031	0.0113403
11	0.00106659	0.00106599	0.012475
12	0.00116355	0.00116296	0.0136097
13	0.00126052	0.00125992	0.0147444
14	0.00135748	0.00135688	0.015879
15	0.00145444	0.00145384	0.0170137
16	0.0015514	0.00155081	0.0181484
17	0.00164837	0.00164777	0.019283
18	0.00174533	0.00174473	0.0204176
19	0.00184229	0.0018417	0.0215522
20	0.00193925	0.00193866	0.0226869
21	0.00203622	0.00203562	0.0238214
22	0.00213318	0.00213258	0.024956
23	0.00223014	0.00222955	0.0260906
24	0.00232711	0.00232651	0.0272251
25	0.00242407	0.00242347	0.0283596
26	0.00252103	0.00252044	0.0294941
27	0.00261799	0.0026174	0.0306286
28	0.00271496	0.00271436	0.0317631
29	0.00281192	0.00281132	0.0328975
30	0.00290888	0.00290829	0.034032
31	0.00300584	0.00300525	0.0351664
32	0.00310281	0.00310221	0.0363007
33	0.00319977	0.00319917	0.0374351
34	0.00329673	0.00329614	0.0385694
35	0.0033937	0.0033931	0.0397037
36	0.00349066	0.00349006	0.040838
37	0.00358762	0.00358703	0.0419723
38	0.00368458	0.00368399	0.0431065
39	0.00378155	0.00378095	0.0442407
40	0.00387851	0.00387791	0.0453749
41	0.00397547	0.00397488	0.046509
42	0.00407243	0.00407184	0.0476431
43	0.0041694	0.0041688	0.0487772
44	0.00426636	0.00426576	0.0499113
45	0.00436332	0.00436273	0.0510453
46	0.00446029	0.00445969	0.0521793
47	0.00455725	0.00455665	0.0533132
48	0.00465421	0.00465362	0.0544472
49	0.00475117	0.00475058	0.0555811
50	0.00484814	0.00484754	0.0567149
51	0.0049451	0.0049445	0.0578487
52	0.00504206	0.00504147	0.0589825
53	0.00513903	0.00513843	0.0601162
54	0.00523599	0.00523539	0.0612499
55	0.00533295	0.00533235	0.0623836
56	0.00542991	0.00542932	0.0635172
57	0.00552688	0.00552628	0.0646508
58	0.00562384	0.00562324	0.0657844
59	0.0057208	0.00572021	0.0669179
60	0.00581776	0.00581717	0.0680513
61	0.00591473	0.00591413	0.0691847
62	0.00601169	0.00601109	0.0703181
63	0.00610865	0.00610806	0.0714514
64	0.00620562	0.00620502	0.0725847
65	0.00630258	0.00630198	0.0737179
66	0.00639954	0.00639894	0.0748511
67	0.0064965	0.00649591	0.0759843
68	0.00659347	0.00659287	0.0771174
69	0.00669043	0.00668983	0.0782504
70	0.00678739	0.0067868	0.0793834
71	0.00688435	0.00688376	0.0805163
72	0.00698132	0.00698072	0.0816492
73	0.00707828	0.00707768	0.0827821
74	0.00717524	0.00717465	0.0839148
75	0.00727221	0.00727161	0.0850476
76	0.00736917	0.00736857	0.0861802
77	0.00746613	0.00746553	0.0873129
78	0.00756309	0.0075625	0.0884454
79	0.00766006	0.00765946	0.0895779
80	0.00775702	0.00775642	0.0907104
81	0.00785398	0.00785339	0.0918428
82	0.00795094	0.00795035	0.0929751
83	0.00804791	0.00804731	0.0941074
84	0.00814487	0.00814427	0.0952396
85	0.00824183	0.00824124	0.0963718
86	0.0083388	0.0083382	0.0975039
87	0.00843576	0.00843516	0.0986359
88	0.00853272	0.00853212	0.0997679
89	0.00862968	0.00862909	0.1009
90	0.00872665	0.00872605	0.102032
91	0.00882361	0.00882301	0.103163
92	0.00892057	0.00891998	0.104295
93	0.00901753	0.00901694	0.105427
94	0.0091145	0.0091139	0.106558
95	0.00921146	0.00921086	0.10769
96	0.00930842	0.00930783	0.108821
97	0.00940539	0.00940479	0.109953
98	0.00950235	0.00950175	0.111084
99	0.00959931	0.00959871	0.112215
100	0.00969627	0.00969568	0.113346
101	0.00979324	0.00979264	0.114477
102	0.0098902	0.0098896	0.115608
103	0.00998716	0.00998657	0.116739
104	0.0100841	0.0100835	0.11787
105	0.0101811	0.0101805	0.119001
106	0.0102781	0.0102775	0.120132
107	0.010375	0.0103744	0.121262
108	0.010472	0.0104714	0.122393
109	0.0105689	0.0105683	0.123523
110	0.0106659	0.0106653	0.124654
111	0.0107629	0.0107623	0.125784
112	0.0108598	0.0108592	0.126914
113	0.0109568	0.0109562	0.128045
114	0.0110538	0.0110532	0.129175
115	0.0111507	0.0111501	0.130305
116	0.0112477	0.0112471	0.131435
117	0.0113446	0.011344	0.132565
118	0.0114416	0.011441	0.133694
119	0.0115386	0.011538	0.134824
120	0.0116355	0.0116349	0.135954
121	0.0117325	0.0117319	0.137083
122	0.0118295	0.0118289	0.138212
123	0.0119264	0.0119258	0.139342
124	0.0120234	0.0120228	0.140471
125	0.0121203	0.0121197	0.1416
126	0.0122173	0.0122167	0.142729
127	0.0123143	0.0123137	0.143858
128	0.0124112	0.0124106	0.144987
129	0.0125082	0.0125076	0.146116
130	0.0126052	0.0126046	0.147245
131	0.0127021	0.0127015	0.148373
132	0.0127991	0.0127985	0.149502
133	0.012896	0.0128954	0.15063
134	0.012993	0.0129924	0.151758
135	0.01309	0.0130894	0.152887
136	0.0131869	0.0131863	0.154015
137	0.0132839	0.0132833	0.155143
138	0.0133809	0.0133803	0.156271
139	0.0134778	0.0134772	0.157398
140	0.0135748	0.0135742	0.158526
141	0.0136717	0.0136711	0.159654
142	0.0137687	0.0137681	0.160781
143	0.0138657	0.0138651	0.161909
144	0.0139626	0.013962	0.163036
145	0.0140596	0.014059	0.164163
146	0.0141566	0.014156	0.16529
147	0.0142535	0.0142529	0.166417
148	0.0143505	0.0143499	0.167544
149	0.0144474	0.0144469	0.168671
150	0.0145444	0.0145438	0.169798
151	0.0146414	0.0146408	0.170924
152	0.0147383	0.0147377	0.172051
153	0.0148353	0.0148347	0.173177
154	0.0149323	0.0149317	0.174304
155	0.0150292	0.0150286	0.17543
156	0.0151262	0.0151256	0.176556
157	0.0152231	0.0152226	0.177682
158	0.0153201	0.0153195	0.178807
159	0.0154171	0.0154165	0.179933
160	0.015514	0.0155134	0.181059
161	0.015611	0.0156104	0.182184
162	0.015708	0.0157074	0.18331
163	0.0158049	0.0158043	0.184435
164	0.0159019	0.0159013	0.18556
165	0.0159989	0.0159983	0.186685
166	0.0160958	0.0160952	0.18781
167	0.0161928	0.0161922	0.188935
168	0.0162897	0.0162891	0.190059
169	0.0163867	0.0163861	0.191184
170	0.0164837	0.0164831	0.192308
171	0.0165806	0.01658	0.193433
172	0.0166776	0.016677	0.194557
173	0.0167746	0.016774	0.195681
174	0.0168715	0.0168709	0.196805
175	0.0169685	0.0169679	0.197929
176	0.0170654	0.0170648	0.199052
177	0.0171624	0.0171618	0.200176
178	0.0172594	0.0172588	0.201299
179	0.0173563	0.0173557	0.202422
180	0.0174533	0.0174527	0.203546
181	0.0175503	0.0175497	0.204669
182	0.0176472	0.0176466	0.205792
183	0.0177442	0.0177436	0.206914
184	0.0178411	0.0178405	0.208037
185	0.0179381	0.0179375	0.20916
186	0.0180351	0.0180345	0.210282
187	0.018132	0.0181314	0.211404
188	0.018229	0.0182284	0.212526
189	0.018326	0.0183254	0.213648
190	0.0184229	0.0184223	0.21477
191	0.0185199	0.0185193	0.215892
192	0.0186168	0.0186162	0.217014
193	0.0187138	0.0187132	0.218135
194	0.0188108	0.0188102	0.219256
195	0.0189077	0.0189071	0.220378
196	0.0190047	0.0190041	0.221499
197	0.0191017	0.0191011	0.22262
198	0.0191986	0.019198	0.22374
199	0.0192956	0.019295	0.224861
200	0.0193925	0.019392	0.225981
201	0.0194895	0.0194889	0.227102
202	0.0195865	0.0195859	0.228222
203	0.0196834	0.0196828	0.229342
204	0.0197804	0.0197798	0.230462
205	0.0198774	0.0198768	0.231582
206	0.0199743	0.0199737	0.232701
207	0.0200713	0.0200707	0.233821
208	0.0201682	0.0201677	0.23494
209	0.0202652	0.0202646	0.236059
210	0.0203622	0.0203616	0.237178
211	0.0204591	0.0204585	0.238297
212	0.0205561	0.0205555	0.239416
213	0.0206531	0.0206525	0.240535
214	0.02075	0.0207494	0.241653
215	0.020847	0.0208464	0.242771
216	0.020944	0.0209434	0.24389
217	0.0210409	0.0210403	0.245008
218	0.0211379	0.0211373	0.246125
219	0.0212348	0.0212342	0.247243
220	0.0213318	0.0213312	0.248361
221	0.0214288	0.0214282	0.249478
222	0.0215257	0.0215251	0.250595
223	0.0216227	0.0216221	0.251712
224	0.0217197	0.0217191	0.252829
225	0.0218166	0.021816	0.253946
226	0.0219136	0.021913	0.255063
227	0.0220105	0.0220099	0.256179
228	0.0221075	0.0221069	0.257295
229	0.0222045	0.0222039	0.258411
230	0.0223014	0.0223008	0.259527
231	0.0223984	0.0223978	0.260643
232	0.0224954	0.0224948	0.261759
233	0.0225923	0.0225917	0.262874
234	0.0226893	0.0226887	0.26399
235	0.0227862	0.0227856	0.265105
236	0.0228832	0.0228826	0.26622
237	0.0229802	0.0229796	0.267335
238	0.0230771	0.0230765	0.268449
239	0.0231741	0.0231735	0.269564
240	0.0232711	0.0232705	0.270678
241	0.023368	0.0233674	0.271792
242	0.023465	0.0234644	0.272906
243	0.0235619	0.0235613	0.27402
244	0.0236589	0.0236583	0.275134
245	0.0237559	0.0237553	0.276247
246	0.0238528	0.0238522	0.27736
247	0.0239498	0.0239492	0.278473
248	0.0240468	0.0240462	0.279586
249	0.0241437	0.0241431	0.280699
250	0.0242407	0.0242401	0.281812
251	0.0243376	0.0243371	0.282924
252	0.0244346	0.024434	0.284037
253	0.0245316	0.024531	0.285149
254	0.0246285	0.0246279	0.286261
255	0.0247255	0.0247249	0.287372
256	0.0248225	0.0248219	0.288484
257	0.0249194	0.0249188	0.289595
258	0.0250164	0.0250158	0.290706
259	0.0251133	0.0251128	0.291817
260	0.0252103	0.0252097	0.292928
261	0.0253073	0.0253067	0.294039
262	0.0254042	0.0254036	0.295149
263	0.0255012	0.0255006	0.29626
264	0.0255982	0.0255976	0.29737
265	0.0256951	0.0256945	0.29848
266	0.0257921	0.0257915	0.299589
267	0.0258891	0.0258885	0.300699
268	0.025986	0.0259854	0.301808
269	0.026083	0.0260824	0.302918
270	0.0261799	0.0261793	0.304027
271	0.0262769	0.0262763	0.305135
272	0.0263739	0.0263733	0.306244
273	0.0264708	0.0264702	0.307352
274	0.0265678	0.0265672	0.308461
275	0.0266648	0.0266642	0.309569
276	0.0267617	0.0267611	0.310677
277	0.0268587	0.0268581	0.311784
278	0.0269556	0.026955	0.312892
279	0.0270526	0.027052	0.313999
280	0.0271496	0.027149	0.315106
281	0.0272465	0.0272459	0.316213
282	0.0273435	0.0273429	0.31732
283	0.0274405	0.0274399	0.318426
284	0.0275374	0.0275368	0.319533
285	0.0276344	0.0276338	0.320639
286	0.0277313	0.0277307	0.321745
287	0.0278283	0.0278277	0.32285
288	0.0279253	0.0279247	0.323956
289	0.0280222	0.0280216	0.325061
290	0.0281192	0.0281186	0.326167
291	0.0282162	0.0282156	0.327271
292	0.0283131	0.0283125	0.328376
293	0.0284101	0.0284095	0.329481
294	0.028507	0.0285064	0.330585
295	0.028604	0.0286034	0.331689
296	0.028701	0.0287004	0.332793
297	0.0287979	0.0287973	0.333897
298	0.0288949	0.0288943	0.335
299	0.0289919	0.0289913	0.336104
300	0.0290888	0.0290882	0.337207
301	0.0291858	0.0291852	0.33831
302	0.0292827	0.0292822	0.339413
303	0.0293797	0.0293791	0.340515
304	0.0294767	0.0294761	0.341617
305	0.0295736	0.029573	0.342719
306	0.0296706	0.02967	0.343821
307	0.0297676	0.029767	0.344923
308	0.0298645	0.0298639	0.346024
309	0.0299615	0.0299609	0.347126
310	0.0300584	0.0300579	0.348227
311	0.0301554	0.0301548	0.349328
312	0.0302524	0.0302518	0.350428
313	0.0303493	0.0303487	0.351529
314	0.0304463	0.0304457	0.352629
315	0.0305433	0.0305427	0.353729
316	0.0306402	0.0306396	0.354828
317	0.0307372	0.0307366	0.355928
318	0.0308342	0.0308336	0.357027
319	0.0309311	0.0309305	0.358126
320	0.0310281	0.0310275	0.359225
321	0.031125	0.0311244	0.360324
322	0.031222	0.0312214	0.361423
323	0.031319	0.0313184	0.362521
324	0.0314159	0.0314153	0.363619
325	0.0315129	0.0315123	0.364717
326	0.0316099	0.0316093	0.365814
327	0.0317068	0.0317062	0.366912
328	0.0318038	0.0318032	0.368009
329	0.0319007	0.0319001	0.369106
330	0.0319977	0.0319971	0.370202
331	0.0320947	0.0320941	0.371299
332	0.0321916	0.032191	0.372395
333	0.0322886	0.032288	0.373491
334	0.0323856	0.032385	0.374587
335	0.0324825	0.0324819	0.375682
336	0.0325795	0.0325789	0.376778
337	0.0326764	0.0326758	0.377873
338	0.0327734	0.0327728	0.378968
339	0.0328704	0.0328698	0.380062
340	0.0329673	0.0329667	0.381157
341	0.0330643	0.0330637	0.382251
342	0.0331613	0.0331607	0.383345
343	0.0332582	0.0332576	0.384439
344	0.0333552	0.0333546	0.385532
345	0.0334521	0.0334515	0.386626
346	0.0335491	0.0335485	0.387719
347	0.0336461	0.0336455	0.388811
348	0.033743	0.0337424	0.389904
349	0.03384	0.0338394	0.390996
350	0.033937	0.0339364	0.392088
351	0.0340339	0.0340333	0.39318
352	0.0341309	0.0341303	0.394272
353	0.0342278	0.0342272	0.395363
354	0.0343248	0.0343242	0.396455
355	0.0344218	0.0344212	0.397546
356	0.0345187	0.0345181	0.398636
357	0.0346157	0.0346151	0.399727
358	0.0347127	0.0347121	0.400817
359	0.0348096	0.034809	0.401907
360	0.0349066	0.034906	0.402997
361	0.0350035	0.035003	0.404086
362	0.0351005	0.0350999	0.405175
363	0.0351975	0.0351969	0.406264
364	0.0352944	0.0352938	0.407353
365	0.0353914	0.0353908	0.408442
366	0.0354884	0.0354878	0.40953
367	0.0355853	0.0355847	0.410618
368	0.0356823	0.0356817	0.411706
369	0.0357792	0.0357787	0.412793
370	0.0358762	0.0358756	0.413881
371	0.0359732	0.0359726	0.414968
372	0.0360701	0.0360695	0.416055
373	0.0361671	0.0361665	0.417141
374	0.0362641	0.0362635	0.418227
375	0.036361	0.0363604	0.419314
376	0.036458	0.0364574	0.420399
377	0.036555	0.0365544	0.421485
378	0.0366519	0.0366513	0.42257
379	0.0367489	0.0367483	0.423655
380	0.0368458	0.0368452	0.42474
381	0.0369428	0.0369422	0.425825
382	0.0370398	0.0370392	0.426909
383	0.0371367	0.0371361	0.427993
384	0.0372337	0.0372331	0.429077
385	0.0373307	0.0373301	0.43016
386	0.0374276	0.037427	0.431244
387	0.0375246	0.037524	0.432327
388	0.0376215	0.0376209	0.43341
389	0.0377185	0.0377179	0.434492
390	0.0378155	0.0378149	0.435574
391	0.0379124	0.0379118	0.436656
392	0.0380094	0.0380088	0.437738
393	0.0381064	0.0381058	0.43882
394	0.0382033	0.0382027	0.439901
395	0.0383003	0.0382997	0.440982
396	0.0383972	0.0383966	0.442063
397	0.0384942	0.0384936	0.443143
