t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0	-1.18034	3.39537
1	9.69627e-05	-1.18024	3.3954
2	0.000193925	-1.18015	3.39542
3	0.000290888	-1.18005	3.39545
4	0.000387851	-1.17995	3.39548
5	0.000484814	-1.17986	3.3955
6	0.000581776	-1.17976	3.39553
7	0.000678739	-1.17966	3.39555
8	0.000775702	-1.17956	3.39558
9	0.000872665	-1.17947	3.39561
10	0.000969627	-1.17937	3.39563
11	0.00106659	-1.17927	3.39566
12	0.00116355	-1.17918	3.39569
13	0.00126052	-1.17908	3.39571
14	0.00135748	-1.17898	3.39574
15	0.00145444	-1.17889	3.39577
16	0.0015514	-1.17879	3.39579
17	0.00164837	-1.17869	3.39582
18	0.00174533	-1.17859	3.39584
19	0.00184229	-1.1785	3.39587
20	0.00193925	-1.1784	3.3959
21	0.00203622	-1.1783	3.39592
22	0.00213318	-1.17821	3.39595
23	0.00223014	-1.17811	3.39598
24	0.00232711	-1.17801	3.396
25	0.00242407	-1.17792	3.39603
26	0.00252103	-1.17782	3.39606
27	0.00261799	-1.17772	3.39608
28	0.00271496	-1.17763	3.39611
29	0.00281192	-1.17753	3.39613
30	0.00290888	-1.17743	3.39616
31	0.00300584	-1.17733	3.39619
32	0.00310281	-1.17724	3.39621
33	0.00319977	-1.17714	3.39624
34	0.00329673	-1.17704	3.39627
35	0.0033937	-1.17695	3.39629
36	0.00349066	-1.17685	3.39632
37	0.00358762	-1.17675	3.39635
38	0.00368458	-1.17666	3.39637
39	0.00378155	-1.17656	3.3964
40	0.00387851	-1.17646	3.39643
41	0.00397547	-1.17636	3.39645
42	0.00407243	-1.17627	3.39648
43	0.0041694	-1.17617	3.39651
44	0.00426636	-1.17607	3.39653
45	0.00436332	-1.17598	3.39656
46	0.00446029	-1.17588	3.39658
47	0.00455725	-1.17578	3.39661
48	0.00465421	-1.17569	3.39664
49	0.00475117	-1.17559	3.39666
50	0.00484814	-1.17549	3.39669
51	0.0049451	-1.1754	3.39672
52	0.00504206	-1.1753	3.39674
53	0.00513903	-1.1752	3.39677
54	0.00523599	-1.1751	3.3968
55	0.00533295	-1.17501	3.39682
56	0.00542991	-1.17491	3.39685
57	0.00552688	-1.17481	3.39688
58	0.00562384	-1.17472	3.3969
59	0.0057208	-1.17462	3.39693
60	0.00581776	-1.17452	3.39696
61	0.00591473	-1.17443	3.39698
62	0.00601169	-1.17433	3.39701
63	0.00610865	-1.17423	3.39704
64	0.00620562	-1.17413	3.39706
65	0.00630258	-1.17404	3.39709
66	0.00639954	-1.17394	3.39712
67	0.0064965	-1.17384	3.39714
68	0.00659347	-1.17375	3.39717
69	0.00669043	-1.17365	3.3972
70	0.00678739	-1.17355	3.39722
71	0.00688435	-1.17346	3.39725
72	0.00698132	-1.17336	3.39727
73	0.00707828	-1.17326	3.3973
74	0.00717524	-1.17316	3.39733
75	0.00727221	-1.17307	3.39735
76	0.00736917	-1.17297	3.39738
77	0.00746613	-1.17287	3.39741
78	0.00756309	-1.17278	3.39743
79	0.00766006	-1.17268	3.39746
80	0.00775702	-1.17258	3.39749
81	0.00785398	-1.17249	3.39751
82	0.00795094	-1.17239	3.39754
83	0.00804791	-1.17229	3.39757
84	0.00814487	-1.1722	3.39759
85	0.00824183	-1.1721	3.39762
86	0.0083388	-1.172	3.39765
87	0.00843576	-1.1719	3.39767
88	0.00853272	-1.17181	3.3977
89	0.00862968	-1.17171	3.39773
90	0.00872665	-1.17161	3.39775
91	0.00882361	-1.17152	3.39778
92	0.00892057	-1.17142	3.39781
93	0.00901753	-1.17132	3.39783
94	0.0091145	-1.17123	3.39786
95	0.00921146	-1.17113	3.39789
96	0.00930842	-1.17103	3.39791
97	0.00940539	-1.17093	3.39794
98	0.00950235	-1.17084	3.39797
99	0.00959931	-1.17074	3.39799
100	0.00969627	-1.17064	3.39802
101	0.00979324	-1.17055	3.39805
102	0.0098902	-1.17045	3.39807
103	0.00998716	-1.17035	3.3981
104	0.0100841	-1.17026	3.39813
105	0.0101811	-1.17016	3.39815
106	0.0102781	-1.17006	3.39818
107	0.010375	-1.16997	3.39821
108	0.010472	-1.16987	3.39823
109	0.0105689	-1.16977	3.39826
110	0.0106659	-1.16967	3.39829
111	0.0107629	-1.16958	3.39832
112	0.0108598	-1.16948	3.39834
113	0.0109568	-1.16938	3.39837
114	0.0110538	-1.16929	3.3984
115	0.0111507	-1.16919	3.39842
116	0.0112477	-1.16909	3.39845
117	0.0113446	-1.169	3.39848
118	0.0114416	-1.1689	3.3985
119	0.0115386	-1.1688	3.39853
120	0.0116355	-1.1687	3.39856
121	0.0117325	-1.16861	3.39858
122	0.0118295	-1.16851	3.39861
123	0.0119264	-1.16841	3.39864
124	0.0120234	-1.16832	3.39866
125	0.0121203	-1.16822	3.39869
126	0.0122173	-1.16812	3.39872
127	0.0123143	-1.16803	3.39874
128	0.0124112	-1.16793	3.39877
129	0.0125082	-1.16783	3.3988
130	0.0126052	-1.16774	3.39882
131	0.0127021	-1.16764	3.39885
132	0.0127991	-1.16754	3.39888
133	0.012896	-1.16744	3.3989
134	0.012993	-1.16735	3.39893
135	0.01309	-1.16725	3.39896
136	0.0131869	-1.16715	3.39898
137	0.0132839	-1.16706	3.39901
138	0.0133809	-1.16696	3.39904
139	0.0134778	-1.16686	3.39907
140	0.0135748	-1.16677	3.39909
141	0.0136717	-1.16667	3.39912
142	0.0137687	-1.16657	3.39915
143	0.0138657	-1.16647	3.39917
144	0.0139626	-1.16638	3.3992
145	0.0140596	-1.16628	3.39923
146	0.0141566	-1.16618	3.39925
147	0.0142535	-1.16609	3.39928
148	0.0143505	-1.16599	3.39931
149	0.0144474	-1.16589	3.39933
150	0.0145444	-1.1658	3.39936
151	0.0146414	-1.1657	3.39939
152	0.0147383	-1.1656	3.39941
153	0.0148353	-1.1655	3.39944
154	0.0149323	-1.16541	3.39947
155	0.0150292	-1.16531	3.3995
156	0.0151262	-1.16521	3.39952
157	0.0152231	-1.16512	3.39955
158	0.0153201	-1.16502	3.39958
159	0.0154171	-1.16492	3.3996
160	0.015514	-1.16483	3.39963
161	0.015611	-1.16473	3.39966
162	0.015708	-1.16463	3.39968
163	0.0158049	-1.16454	3.39971
164	0.0159019	-1.16444	3.39974
165	0.0159989	-1.16434	3.39976
166	0.0160958	-1.16424	3.39979
167	0.0161928	-1.16415	3.39982
168	0.0162897	-1.16405	3.39985
169	0.0163867	-1.16395	3.39987
170	0.0164837	-1.16386	3.3999
171	0.0165806	-1.16376	3.39993
172	0.0166776	-1.16366	3.39995
173	0.0167746	-1.16357	3.39998
174	0.0168715	-1.16347	3.40001
175	0.0169685	-1.16337	3.40003
176	0.0170654	-1.16327	3.40006
177	0.0171624	-1.16318	3.40009
178	0.0172594	-1.16308	3.40012
179	0.0173563	-1.16298	3.40014
180	0.0174533	-1.16289	3.40017
181	0.0175503	-1.16279	3.4002
182	0.0176472	-1.16269	3.40022
183	0.0177442	-1.1626	3.40025
184	0.0178411	-1.1625	3.40028
185	0.0179381	-1.1624	3.4003
186	0.0180351	-1.16231	3.40033
187	0.018132	-1.16221	3.40036
188	0.018229	-1.16211	3.40039
189	0.018326	-1.16201	3.40041
190	0.0184229	-1.16192	3.40044
191	0.0185199	-1.16182	3.40047
192	0.0186168	-1.16172	3.40049
193	0.0187138	-1.16163	3.40052
194	0.0188108	-1.16153	3.40055
